"","uid","session","period","sessionper","average_pearson"
"88","C4620083 M3","7","reward","7 reward",0.392920593945144
"89","C4620083 M4","7","reward","7 reward",0.0316017753220594
"90","C4620081 M1","7","tmt","7 tmt",0.0173285888172549
"91","C4620081 M2","7","tmt","7 tmt",0.0645061781222064
"92","C4620081 M3","7","tmt","7 tmt",0.0662344415631977
"93","C4620081 M4","7","tmt","7 tmt",0.0625970633811756
"94","C4620083 M1","7","tmt","7 tmt",0.0826426726089098
"95","C4620083 M2","7","tmt","7 tmt",0.0393632121767556
"96","C4620083 M3","7","tmt","7 tmt",0.405341265279414
"97","C4620083 M4","7","tmt","7 tmt",0.0284291723889835
